date,oil_production_growth,real_activity,real_oil_price,real_sp500_return,fedfunds
1991-06-01,0.37541981494797483,16.61342,-1.9074674534113059,1.7280308294314928,5.9
1991-07-01,1.6029407452457178,8.141266,-1.8512008706210976,-2.794689999155242,5.82
1991-08-01,-1.266094757918701,2.981071,-1.8411281315884218,2.111958791098889,5.66
1991-09-01,1.5926039020435212,6.0906602,-1.8348650911394484,0.9985715531112938,5.45
1991-10-01,0.07813734281736373,10.434106,-1.7777185640243445,-0.9009811881830032,5.21
1991-11-01,0.37652957609797255,11.033069,-1.8087387998580424,0.10686333418874483,4.81
1991-12-01,0.6880136693661498,5.5939541,-1.957262330348623,-2.8575533896547434,4.43
1992-01-01,-1.769023075596543,2.7205351,-1.9950365953577736,8.913754760536552,4.03
1992-02-01,-0.22783157925587716,-10.633009,-1.9866269302554649,-2.0866242488735587,4.06
1992-03-01,-1.897024377186618,-17.959223,-1.9970899382120426,0.35038460272804883,3.98
1992-04-01,-0.2787488027593099,-21.773927,-1.9381213355181768,-2.2285365223615905,3.73
1992-05-01,-0.36565802807420056,-14.105391,-1.8973586198947694,1.8175109430865533,3.82
1992-06-01,-0.17270357527383595,-22.108718,-1.8324030356989474,0.8637243821151941,3.76
1992-07-01,0.8457667049395212,-31.534415,-1.863297518978757,-1.3499388109238453,3.25
1992-08-01,0.02168205301185111,-31.485497,-1.8867571978503348,2.701094197957765,3.3
1992-09-01,0.9224016500274601,-32.850664,-1.8638958813049877,-2.357578479155542,3.22
1992-10-01,0.69951521382698445,-32.255475,-1.876399886150221,-0.3714667477368927,3.1
1992-11-01,-0.3766607584035242,-19.487697,-1.9434501232144508,1.2579946072086123,3.09
1992-12-01,0.19739313595543706,-7.6815912,-1.991634042232628,1.7410058344063728,2.92
1993-01-01,-0.4882755212351597,-12.302384,-2.0091423342788293,0.7114163262664341,3.02
1993-02-01,0.9644050217298528,-10.137547,-1.9643175237541586,1.416777549520365,3.03
1993-03-01,-1.972890115363768,-2.017709,-1.953334712123845,-0.2549756261860381,3.07
1993-04-01,-0.3799449120723608,2.0150083,-1.9592814848230378,1.5098361396209015,2.96
1993-05-01,-0.06761701315376456,8.0972116,-1.9779720815149764,-2.0341734193228156,3
1993-06-01,-0.5254790973927115,4.7608842,-2.018547908722272,2.4679362492382673,3.04
1993-07-01,0.9050424023401504,-6.7208401,-2.0823523483646222,-1.2040285050835209,3.06
1993-08-01,-0.4484719417364502,-6.0361962,-2.0866497791561485,0.04394688837852101,3.03
1993-09-01,0.7852636839629668,-3.8658915,-2.1191147709962177,2.708985305717171,3.09
1993-10-01,1.0030283501208714,-7.4105379,-2.0810912533545056,-0.8175124620024121,2.99
1993-11-01,0.4829914918298428,-12.988016,-2.167599279101034,1.40672611560273,3.02
1993-12-01,-0.23890814571476682,-18.162275,-2.3073812652575385,-1.7541865454674621,2.96
1994-01-01,2.6539667333038253,-18.644764,-2.27627666169009,0.7656400783664807,3.05
1994-02-01,-1.138461799611612,-24.72002,-2.2937625043788663,2.7280536406022016,3.25
1994-03-01,-0.19407994060198774,-25.345152,-2.3019055143066613,-3.488467196412781,3.34
1994-04-01,-0.37212698082598195,-13.118531,-2.2179542646545625,-5.719476798758905,3.56
1994-05-01,0.28483229475515515,-0.21614012,-2.1107048466085376,2.9583086167147776,4.01
1994-06-01,0.7032673495775299,-9.5449082,-2.0531505765349722,0.7416563722610015,4.25
1994-07-01,-0.19570949726581688,-5.5633778,-2.0269360443019053,-2.8668659687340003,4.26
1994-08-01,-1.3927020248358346,-0.31665165,-2.085635179360053,2.861747135009196,4.47
1994-09-01,1.7363968272229968,3.3621504,-2.1460451541336885,2.4023605814263327,4.73
1994-10-01,0.9233040970965334,19.702522,-2.1330626331189335,-2.512238753142082,4.76
1994-11-01,0.05864572903604426,22.546583,-2.116155386304229,1.1689618687305448,5.29
1994-12-01,0.7956065558605729,29.313952,-2.161173438944217,-4.452129752331402,5.45
1995-01-01,-0.7533089603928289,30.413288,-2.1241470362264887,1.9783727249927274,5.53
1995-02-01,0.7375136014589501,28.968647,-2.0956086384157486,2.1639301165691016,5.92
1995-03-01,-0.8535396419423691,38.788774,-2.0986729036077234,2.991870569972832,5.98
